state_name,state_abb,biden_pct,trump_pct,n,abortion_most_time,abortion_never_legal,cap_carbon,gov_health_subsidies,guns_assault,guns_bg,legal_marijuana,minimum_wage_15d,paid_maternity_12wk,path_to_citizenship_dreamers,raise_taxes_600k,state_college
Alabama,AL,0.365699902,0.620316432,3688716.000000007,0.39593566580723344,0.7017992345094275,0.467222664824197,0.6019109073170726,0.4188364582363991,0.8014104884957963,0.5385265651275498,0.5541187606994377,0.6913513130492864,0.595122795637282,0.5700694874911268,0.5415448955107451
Alaska,AK,0.427719523,0.528331433,530984.000000001,0.49369481929977954,0.752291332865571,0.5574174562060066,0.5703276775286642,0.4570102796457378,0.7848569604789923,0.6109944108237937,0.601202325901253,0.7747794694254065,0.6215966515508196,0.5799816227699129,0.48285416519020447
Arizona,AZ,0.493646906,0.49055981,4921646.000000009,0.5318995858036792,0.792712601918445,0.5240354297138615,0.602819210059393,0.5080472299091384,0.8199848724865956,0.6378234631773724,0.5300528524572673,0.6002849573409852,0.6908201564290442,0.6026556454597117,0.5222006402170218
Arkansas,AR,0.34775062,0.623957299,2206745.999999998,0.36408652645549,0.7563013679815875,0.43738447811646436,0.5960795702406398,0.411368381161729,0.7712324353953729,0.5205690657988256,0.5512727667347131,0.6697750672516753,0.604876521547408,0.5494058420209743,0.5540768812689183
California,CA,0.634839832,0.343207432,25487777.999999955,0.6093296427812502,0.8108532598549472,0.6144496093715591,0.6348366474060625,0.600351041800106,0.8299610232722061,0.604966778542656,0.6723099869976322,0.659515723566635,0.6995600244031888,0.6129364884320928,0.6100378121000595
Colorado,CO,0.554000182,0.41898284,4066371.0000000023,0.5821324965212316,0.8166265336417113,0.5906173165449535,0.6050027622606815,0.5402157778592498,0.8183017763119621,0.6946588146434151,0.5989856663382115,0.6568494197971512,0.7163294620737506,0.6224863190926483,0.5356798090071766
Connecticut,CT,0.592389407,0.392096468,2606070.9999999953,0.6237520402014829,0.8479455258138953,0.6468922249919562,0.6239647135851246,0.6281785046823507,0.8614592770555531,0.5461404284295898,0.6445752354654949,0.6034621774581191,0.6889530486020614,0.6669547364557094,0.5813290661528473
Delaware,DE,0.587430058,0.397748768,710167.0000000005,0.5953862435667883,0.8432963574803156,0.591372426298576,0.6322598675343847,0.5638553286308,0.8406059150909942,0.5357516975684635,0.6549639110487808,0.7187784124759048,0.6531959930698061,0.6519974111313644,0.5555295898288592
District of Columbia,DC,0.921496939,0.053973214,519723.00000000215,0.6381709673897086,0.7897225475167399,0.6020107539338269,0.726830356047643,0.7038204331508244,0.761118221239843,0.566124246232931,0.7747785524964369,0.7618726263211341,0.7261636023485382,0.6072745752802332,0.678681971062401
Florida,FL,0.478614507,0.512198196,14988309.000000043,0.5380755824615273,0.7839527845926286,0.5647849537052015,0.6248823167911691,0.5440532620071319,0.8374558564122216,0.569306388082948,0.5762702499217915,0.6376722757335171,0.6607518775361202,0.586246845441765,0.5550648549410139
Georgia,GA,0.494952694,0.492595818,7358611.000000015,0.494767662863638,0.7548489908729894,0.5337018768869005,0.6197038705063369,0.48299283422427586,0.7914955851300848,0.5354929054251427,0.5670051149648081,0.6540332104249448,0.6581133540725562,0.5384801002465106,0.5459288718956099
Hawaii,HI,0.637336392,0.342688639,1019458.0000000003,0.6350137922755635,0.8492993905726284,0.6760085044834627,0.6255089168168367,0.5917245078247885,0.8633330699436769,0.6079921614841661,0.6760649510863295,0.7004393469618018,0.6767987040643081,0.6514064159467726,0.5793061405236316
Idaho,ID,0.330962569,0.638952021,1222966.9999999993,0.4769731031791523,0.7920380613964622,0.4359777926637937,0.6203070008731406,0.4331637633893829,0.7521853170365854,0.4926178648851256,0.5841244712765551,0.712566000673827,0.6295238252732401,0.5221446434339028,0.5336613590234671
Illinois,IL,0.575416358,0.405534441,9053743.999999993,0.5472153674414032,0.8008378301181347,0.568312471304356,0.6289898221164372,0.5615820799025759,0.8302086873923576,0.5951920876113616,0.6255341502796741,0.6286003493002588,0.6759662477470354,0.6257669423989599,0.5519371135183437
Indiana,IN,0.409616592,0.570211717,4904614.999999997,0.46231201750435913,0.7598624629812966,0.5077317755868153,0.5913841361822457,0.4732849984771965,0.8180737400736493,0.5876181649682791,0.5493448201323912,0.6254701640678405,0.6505721207175241,0.6099439987518456,0.5323487363457564
Iowa,IA,0.448917156,0.53089325,2323851.0000000056,0.5129502167770408,0.8172663269466992,0.5328393468900849,0.5829065228743889,0.5015993024260235,0.8348748213562013,0.593250011907282,0.5079523979597746,0.693038822542987,0.6874054313499741,0.6537065479871574,0.4708345362758099
Kansas,KS,0.415595535,0.562125128,2086254.0000000002,0.45885973978357986,0.7821349087564118,0.5310907743841692,0.5924286519267845,0.4622822475314027,0.8166778736611078,0.566288624767736,0.5070675541330295,0.6498813042836958,0.675650497307304,0.6177709985537617,0.47487697839946164
Kentucky,KY,0.361515148,0.620865719,3348698.9999999977,0.42969241761048055,0.7240877428930508,0.4789684967875955,0.6249539935534002,0.44209638332529605,0.8033452760732951,0.5424267992533717,0.5859274613851324,0.6529541715733768,0.6358280421799252,0.5899368610230186,0.548450734818544
Louisiana,LA,0.398514568,0.584608824,3461900.000000002,0.40607518576081497,0.6905651034018566,0.4480310746892542,0.5846950085492588,0.43139578208329554,0.789505451605676,0.5794021391174325,0.5836823420140309,0.666491178076396,0.5796314521973673,0.5147249811070238,0.5551243854264402
Maine,ME,0.530924596,0.44021253,1065686.000000004,0.5803189461644646,0.8105536539913782,0.6033641196802796,0.6465913842022538,0.5847362722305761,0.8469317413981865,0.6233534522020844,0.6117483765197185,0.6477177161583927,0.6819841938580571,0.6916124788104491,0.5374922297505037
Maryland,MD,0.653606649,0.321502916,4284053.000000001,0.5884600575673783,0.8272460274286799,0.6294135353556393,0.6654084236675555,0.6052742611228951,0.8427260674817465,0.545068190097149,0.654074515941359,0.7200468801845992,0.6900037627314364,0.6289518247243902,0.5736400213779851
Massachusetts,MA,0.65600063,0.32141911,4987762.000000011,0.6645934632553738,0.8696331385196846,0.6641672746957921,0.654029841715157,0.6771450683223171,0.8794890829780624,0.624922867166371,0.7317487256458138,0.7083511894165232,0.7189042187412908,0.6972138354363111,0.5899044593900207
Michigan,MI,0.506208183,0.478372907,7501308.000000024,0.5093581993092623,0.8012460001240469,0.5587016729450403,0.6013108271938802,0.510400992287829,0.823668206826955,0.5937893319858392,0.550831647385042,0.5860365746527169,0.662635107764503,0.6210723061139809,0.5399582035646947
Minnesota,MN,0.523950603,0.452851284,4075979.0000000065,0.5352337170054601,0.8337243019299155,0.5889333633243222,0.6027071077846997,0.5419134316108726,0.837430206202667,0.6083002192255793,0.6288667585298765,0.6351802234150496,0.704384911867726,0.6689729291760714,0.48000643779951213
Mississippi,MS,0.410617599,0.575989387,2232865.0000000047,0.3815505831880509,0.6735828279288079,0.41247530202575255,0.5958204111613709,0.42319469725623365,0.745992102540892,0.5028370103060054,0.5546031208731745,0.6882810655301712,0.5930584729097016,0.5368932919070808,0.5484315786127129
